Isolate,assembler,chrom_size_before_medaka,chrom_size_after_medaka,total_plasmids,total_circular_plasmids,outbreak_plasmid_length_before_medaka,outbreak_plasmid_length_after_medaka,,,,,,
n_o_1_q12,unicycler-hy,NA,4697895,4,4,NA,69411,,,,,,
n_o_1_q12,autocycler-full,4697887,4697886,4,4,69411,69411,,,,,,
n_o_1_q12,autocycler-wo-canu,4697887,4697886,4,4,69411,69411,,,,,,
n_o_1_q12,autocycler-wo-necat,4697886,4697886,4,4,69411,69411,,,,,,
n_o_1_q12,autocycler-wo-metamdbg,4697886,4697886,4,4,69411,69411,,,,,,
n_o_1_q12,unicycler-lr,4697710,4697867,4,4,69404,69411,,,,,,
n_o_1_q12,dragonflye,4697932,4697896,5,2,69401,69403,,,,,,
n_o_1_q12,plassembler,NA,NA,5,3,69411,69411,,,,,,
n_o_1_q12,hybracter,4697886,4697887,9,3,69411,69411,,,,,,
n_o_2_q12,unicycler-hy,NA,5241343,3,3,NA,89192,,,,,,
n_o_2_q12,autocycler-full,5241319,5241319,3,3,89192,89192,,,,,,
n_o_2_q12,autocycler-wo-canu,5241329,5241327,3,3,89192,89192,,,,,,
n_o_2_q12,autocycler-wo-necat,5241324,5241323,3,3,89192,89192,,,,,,
n_o_2_q12,autocycler-wo-metamdbg,5241317,5241317,3,3,89192,89192,,,,,,
n_o_2_q12,unicycler-lr,5241178,5241304,3,3,89191,89192,,,,,,
n_o_2_q12,dragonflye,5241311,5241319,3,3,89192,89193,,,,,,
n_o_2_q12,plassembler,NA,NA,3,3,89192,89192,,,,,,
n_o_2_q12,hybracter,5241322,5241327,3,3,89192,89192,,,,,,
n_o_3_q12,unicycler-hy,NA,5293530,6,6,NA,67853,,,,,,
n_o_3_q12,autocycler-full,5293365,5293366,6,6,67850,67851,,,,,,
n_o_3_q12,autocycler-wo-canu,5293410,5293404,incomplete,5,67853,67852,,,,,,
n_o_3_q12,autocycler-wo-necat,5293390,5293388,incomplete,6,67849,67851,,,,,,
n_o_3_q12,autocycler-wo-metamdbg,5293374,5293374,incomplete,6,67849,67849,,,,,,
n_o_3_q12,unicycler-lr,5293382,5293405,6,6,67847,67851,,,,,,
n_o_3_q12,dragonflye,5293400,5293390,7,6,67841,67840,,,,,,
n_o_3_q12,plassembler,NA,NA,7,5,67849,67849,,,,,,
n_o_3_q12,hybracter,5293342,5293356,6,6,67847,67849,,,,,,
n_o_4_q12,unicycler-hy,NA,5369321,4,4,NA,63589,,,,,,
n_o_4_q12,autocycler-full,5369139,5369132,5,5,63587,63587,,,,,,
n_o_4_q12,autocycler-wo-canu,5369203,5369189,5,5,63588,63588,,,,,,
n_o_4_q12,autocycler-wo-necat,5369158,5369160,5,5,63587,63587,,,,,,
n_o_4_q12,autocycler-wo-metamdbg,5369123,5369133,5,5,63587,63587,,,,,,
n_o_4_q12,unicycler-lr,5368929,5369126,4,4,63580,63588,,,,,,
n_o_4_q12,dragonflye,5369104,5369105,7,5,63582,63581,,,,,,
n_o_4_q12,plassembler,NA,NA,5,5,63580,63583,,,,,,
n_o_4_q12,hybracter,5369155,5369153,5,5,63587,63587,,,,,,
n_o_5_q12,unicycler-hy,NA,5450545,3,3,NA,63675,,,,,,
n_o_5_q12,autocycler-full,5450530,5450532,3,3,63675,63675,,,,,,
n_o_5_q12,autocycler-wo-canu,5450537,5450536,4,4,63675,63675,,,,,,
n_o_5_q12,autocycler-wo-necat,5450532,5450534,6,6,63675,63675,,,,,,
n_o_5_q12,autocycler-wo-metamdbg,5450531,5450533,5,5,63675,63675,,,,,,
n_o_5_q12,unicycler-lr,5450339,5450535,3,3,63672,63675,,,,,,
n_o_5_q12,dragonflye,5450496,5450521,4,2,127254,127252,,,,,,
n_o_5_q12,plassembler,NA,NA,6,6,63675,63675,,,,,,
n_o_5_q12,hybracter,5450518,5450525,6,6,63675,63675,,,,,,
n_o_6_q12,unicycler-hy,NA,4739087,2,2,NA,69981,,,,,,
n_o_6_q12,autocycler-full,4739482,4739486,4,4,69981,69981,,,,,,
n_o_6_q12,autocycler-wo-canu,4739487,4739488,4,3,69981,69981,,,,,,
n_o_6_q12,autocycler-wo-necat,4739484,4739483,4,4,69981,69981,,,,,,
n_o_6_q12,autocycler-wo-metamdbg,4739480,4739486,4,4,69981,69981,,,,,,
n_o_6_q12,unicycler-lr,4739022,4739078,2,2,69978,69981,,,,,,
